Actividad económica,cod_municipio,cod_provincia,geocode,municipio,num_casos,Periodo,provincia,Sexo
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S005,Arona,1,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S005,Arona,14,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S006,Arona,1,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S006,Arona,6,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S007,Arona,12,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S007,Arona,61,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S008,Arona,8,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S008,Arona,38,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S009,Arona,2,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S009,Arona,10,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S010,Arona,4,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S010,Arona,6,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S011,Arona,3,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S011,Arona,10,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S012,Arona,1,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S012,Arona,6,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S013,Arona,22,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S013,Arona,68,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S014,Arona,2,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S014,Arona,13,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S015,Arona,2,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S015,Arona,4,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S016,Arona,2,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S016,Arona,13,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S017,Arona,1,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S017,Arona,9,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S018,Arona,12,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S018,Arona,25,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S019,Arona,1,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S019,Arona,3,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S020,Arona,1,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S020,Arona,3,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S021,Arona,16,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38006,38,20210101_38006_D01_S021,Arona,51,2021,Santa Cruz de Tenerife,Hombres
